iter	Passed	Remaining
449	1066	1303
450	1068	1300
451	1069	1297
452	1071	1294
453	1074	1291
454	1075	1288
455	1077	1285
456	1079	1283
457	1081	1280
458	1083	1277
459	1085	1274
460	1087	1271
461	1089	1268
462	1090	1265
463	1092	1262
464	1094	1259
465	1096	1256
466	1098	1253
467	1100	1250
468	1102	1247
469	1103	1244
470	1105	1241
471	1107	1238
472	1109	1235
473	1110	1232
474	1112	1229
475	1114	1226
476	1115	1223
477	1117	1220
478	1119	1217
479	1121	1214
480	1122	1211
481	1124	1208
482	1126	1206
483	1128	1203
484	1130	1200
485	1132	1197
486	1134	1194
487	1135	1191
488	1137	1188
489	1139	1185
490	1141	1183
491	1143	1180
492	1145	1177
493	1146	1174
494	1149	1172
495	1150	1169
496	1152	1166
497	1153	1163
498	1156	1160
499	1157	1157
500	1159	1155
501	1161	1152
502	1163	1149
503	1165	1147
504	1167	1144
505	1169	1141
506	1170	1138
507	1172	1135
508	1174	1132
509	1175	1129
510	1177	1127
511	1179	1124
512	1181	1121
513	1183	1118
514	1184	1115
515	1186	1113
516	1188	1110
517	1189	1107
518	1191	1104
519	1193	1101
520	1195	1099
521	1197	1096
522	1198	1093
523	1200	1090
524	1202	1087
525	1204	1085
526	1205	1082
527	1207	1079
528	1209	1076
529	1211	1074
530	1213	1071
531	1215	1068
532	1216	1066
533	1218	1063
534	1220	1060
535	1221	1057
536	1223	1055
537	1225	1052
538	1226	1049
539	1228	1046
540	1230	1043
541	1231	1040
542	1233	1038
543	1234	1035
544	1236	1032
545	1238	1029
546	1240	1027
547	1241	1024
548	1243	1021
549	1245	1018
550	1247	1016
551	1248	1013
552	1250	1010
553	1252	1008
554	1253	1005
555	1255	1002
556	1257	1000
557	1259	997
558	1261	994
559	1262	992
560	1264	989
561	1265	986
562	1267	983
563	1269	981
564	1271	978
565	1272	975
566	1274	973
567	1276	970
568	1277	967
569	1279	965
570	1280	962
571	1282	959
572	1284	957
573	1286	954
574	1287	951
575	1289	949
576	1291	946
577	1292	943
578	1294	941
579	1296	938
580	1298	936
581	1300	933
582	1302	931
583	1304	928
584	1306	926
585	1307	924
586	1309	921
587	1311	919
588	1313	916
589	1315	914
590	1317	911
591	1319	909
592	1321	907
593	1323	904
594	1325	902
595	1327	899
596	1329	897
597	1331	894
598	1332	892
599	1334	889
600	1336	887
601	1338	884
602	1340	882
603	1342	880
604	1344	877
605	1346	875
606	1347	872
607	1349	870
608	1351	867
609	1353	865
610	1355	862
611	1356	860
612	1358	857
613	1360	855
614	1362	852
615	1364	850
616	1366	848
